,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee,home goals,away goals
665,Regular Season,Sat,2019-09-28,15:30,Mainz 05,0.7,0 1,0.4,Wolfsburg,24303.0,Opel Arena,Felix Brych,0,1
666,Regular Season,Sat,2019-09-28,15:30,Hoffenheim,1.5,0 3,2.2,M'Gladbach,29030.0,PreZero Arena,Harm Osmers,0,3
667,Regular Season,Sat,2019-09-28,18:30,Dortmund,2.1,2 2,1.4,Werder Bremen,81365.0,Signal Iduna Park,Deniz Aytekin,2,2
668,Regular Season,Sun,2019-09-29,15:30,Düsseldorf,1.3,1 2,1.6,Freiburg,39244.0,Merkur Spielarena,Daniel Siebert,1,2
669,Regular Season,Sun,2019-09-29,18:00,Köln,0.8,0 4,1.5,Hertha BSC,49700.0,RheinEnergieSTADION,Sören Storks,0,4
670,Regular Season,Fri,2019-10-04,20:30,Hertha BSC,1.7,3 1,1.2,Düsseldorf,37128.0,Olympiastadion Berlin,Martin Petersen,3,1
671,Regular Season,Sat,2019-10-05,15:30,Leverkusen,1.3,1 1,1.5,RB Leipzig,26355.0,BayArena,Marco Fritz,1,1
672,Regular Season,Sat,2019-10-05,15:30,Freiburg,0.4,2 2,0.7,Dortmund,24000.0,Schwarzwald-Stadion,Sven Jablonski,2,2
673,Regular Season,Sat,2019-10-05,15:30,Bayern Munich,1.5,1 2,0.8,Hoffenheim,75000.0,Allianz Arena,Tobias Stieler,1,2
674,Regular Season,Sat,2019-10-05,15:30,Paderborn 07,1.6,1 2,2.7,Mainz 05,14217.0,Benteler-Arena,Patrick Ittrich,1,2
675,Regular Season,Sat,2019-10-05,18:30,Schalke 04,1.6,1 1,0.6,Köln,61883.0,Veltins-Arena,Tobias Welz,1,1
676,Regular Season,Sun,2019-10-06,13:30,M'Gladbach,3.0,5 1,1.2,Augsburg,50352.0,Stadion im Borussia-Park,Robert Schröder,5,1
677,Regular Season,Sun,2019-10-06,15:30,Wolfsburg,2.3,1 0,0.5,Union Berlin,27012.0,Volkswagen Arena,Bastian Dankert,1,0
678,Regular Season,Sun,2019-10-06,18:00,Eint Frankfurt,2.1,2 2,1.7,Werder Bremen,51500.0,Commerzbank-Arena,Guido Winkmann,2,2
679,Regular Season,Fri,2019-10-18,20:30,Eint Frankfurt,2.5,3 0,1.5,Leverkusen,50800.0,Commerzbank-Arena,Christian Dingert,3,0
680,Regular Season,Sat,2019-10-19,15:30,Augsburg,2.0,2 2,2.8,Bayern Munich,30660.0,WWK Arena,Daniel Siebert,2,2
